통로구분,대분류코드,대분류,중분류코드,중분류,소분류코드,소분류,row,column
0,1,청과,101,사과,10101,"사과(10kg,25과,box)",22,10
0,1,청과,101,사과,10102,"사과(상,10kg,box)",22,10
0,1,청과,101,사과,10103,아오리사과(box),22,10
0,1,청과,101,사과,10104,"사과(10kg,30과,box)",22,10
0,1,청과,101,사과,10105,"사과(10kg,35과,box)",22,10
0,1,청과,101,사과,10106,"사과(10kg,40과,box)",22,10
0,1,청과,101,사과,10107,"사과세트(5kg,10과,box)",22,10
0,1,청과,101,사과,10108,"사과세트(5kg,13과,box)",22,10
0,1,청과,101,사과,10109,"사과세트(5kg,16과,box)",22,10
0,1,청과,101,사과,10110,"사과세트(5kg,20과,box)",22,10
0,1,청과,101,사과,10111,컨테이너(c/t),22,10
0,1,청과,102,배,10201,"배(15kg,20과,box)",21,10
0,1,청과,102,배,10202,"배(15kg,30과,box)",21,10
0,1,청과,102,배,10203,"배세트(7.5kg,7과,box)",21,10
0,1,청과,102,배,10204,"배세트(7.5kg,10과,box)",21,10
0,1,청과,102,배,10205,"배세트(7.5kg,12과,box)",21,10
0,1,청과,102,배,10206,"배세트(7.5kg,15과,box)",21,10
0,1,청과,103,참외,10301,"참외(10kg,box)",21,8
0,1,청과,103,참외,10302,"참외(5kg,box)",21,8
0,1,청과,103,참외,10303,"참외(2kg,box)",21,8
1,1,청과,104,수박,10401,"수박(대,8kg이상,통)",19,8
1,1,청과,104,수박,10402,하우스수박(7-8kg),19,8
1,1,청과,104,수박,10403,"수박(중,8kg미만,통)",19,8
1,1,청과,104,수박,10404,수박(소분),19,8
1,1,청과,104,수박,10405,노지수박(통),19,8
1,1,청과,104,수박,10406,흑미수박,19,8
1,1,청과,105,하우스딸기,10501,딸기,17,5
0,1,청과,105,하우스딸기,10502,하우스딸기(2kg),21,9
0,1,청과,105,하우스딸기,10503,"하우스딸기(팩,box)",21,9
1,1,청과,106,포도(국산),10601,켐벨포도,24,10
0,1,청과,106,포도(국산),10602,"포도(상,box)",21,5
1,1,청과,106,포도(국산),10603,머루포도,24,10
1,1,청과,106,포도(국산),10604,거봉,24,10
1,1,청과,106,포도(국산),10605,데라,24,10
1,1,청과,106,포도(국산),10606,청포도,24,10
0,1,청과,107,밀감,10701,"조생밀감(10kg,7,5kg,box)",21,6
0,1,청과,107,밀감,10702,"조생밀감(5kg,box)",21,6
1,1,청과,107,밀감,10703,팬넷귤,19,9
1,1,청과,107,밀감,10704,하우스밀감,19,7
1,1,청과,107,밀감,10705,천혜향,19,6
1,1,청과,107,밀감,10706,청견,19,10
1,1,청과,107,밀감,10707,레드향,19,5
3,1,청과,107,밀감,10708,"한라봉(10kg,box)",25,12
1,1,청과,107,밀감,10709,유자,19,11
1,1,청과,107,밀감,10710,금귤,19,12
3,1,청과,107,밀감,10711,"한라봉(5kg,box)",25,13
3,1,청과,107,밀감,10712,"한라봉(3kg,box)",25,14
1,1,청과,108,토마토,10801,완숙토마토,26,10
1,1,청과,108,토마토,10802,방울토마토,26,10
1,1,청과,108,토마토,10803,흑토마토,26,10
1,1,청과,109,감,10901,단감,17,9
1,1,청과,109,감,10902,대봉,17,9
0,1,청과,109,감,10903,곶감세트,21,4
1,1,청과,109,감,10904,곶감,17,9
1,1,청과,109,감,10905,반시,17,9
1,1,청과,110,키위,11001,참다래(국내산),25,10
1,1,청과,110,키위,11002,골드키위(국내산),25,10
1,1,청과,110,키위,11003,그린키위,25,10
1,1,청과,110,키위,11004,골드키위,25,10
0,1,청과,110,키위,11005,"참다래세트(국,box)",21,5
1,1,청과,110,키위,11006,"골드키위세트(국,소분,팩)",25,10
1,1,청과,110,키위,11007,레드키위(국내산),25,10
1,1,청과,111,메론,11101,머스크메론,17,7
