{'RPATH': 'test1', 'UPATH': 'example2', 'save': 'example', 'seed': 5357, 'lr': 0.0005, 'gpu': '2', 'ep': 500, 'lambda_': 0.5, 'epsilon': 0.3}
epoch : 0	 logprob : -32.69	 J : -17.06	 LOS : 166.2	 TPP(won) : 26151.83
epoch : 1	 logprob : -32.6	 J : -4.61	 LOS : 161.8	 TPP(won) : 31070.42
epoch : 2	 logprob : -36.27	 J : -6.29	 LOS : 162.2	 TPP(won) : 29691.48
epoch : 3	 logprob : -54.16	 J : -9.24	 LOS : 217.0	 TPP(won) : 37252.65
epoch : 4	 logprob : -54.01	 J : -8.49	 LOS : 231.2	 TPP(won) : 34906.01
epoch : 5	 logprob : -102.32	 J : 2.79	 LOS : 355.0	 TPP(won) : 46749.01
epoch : 6	 logprob : -91.39	 J : -13.2	 LOS : 282.2	 TPP(won) : 47917.47
epoch : 7	 logprob : -154.47	 J : -37.22	 LOS : 456.6	 TPP(won) : 61540.07
epoch : 8	 logprob : -100.22	 J : -27.32	 LOS : 303.2	 TPP(won) : 48536.75
epoch : 9	 logprob : -198.99	 J : -23.91	 LOS : 505.0	 TPP(won) : 134585.3
epoch : 10	 logprob : -122.07	 J : -33.52	 LOS : 356.2	 TPP(won) : 59190.8
epoch : 11	 logprob : -270.69	 J : -26.25	 LOS : 699.0	 TPP(won) : 215337.34
epoch : 12	 logprob : -175.88	 J : -12.61	 LOS : 531.8	 TPP(won) : 158826.73
epoch : 13	 logprob : -328.94	 J : -20.34	 LOS : 905.0	 TPP(won) : 297616.28
epoch : 14	 logprob : -183.68	 J : -33.9	 LOS : 515.4	 TPP(won) : 138210.81
epoch : 15	 logprob : -238.41	 J : -37.08	 LOS : 621.8	 TPP(won) : 195517.3
epoch : 16	 logprob : -174.46	 J : -36.69	 LOS : 463.2	 TPP(won) : 117124.51
epoch : 17	 logprob : -135.77	 J : -27.12	 LOS : 368.2	 TPP(won) : 95711.89
epoch : 18	 logprob : -161.45	 J : -26.2	 LOS : 397.0	 TPP(won) : 113600.72
epoch : 19	 logprob : -196.31	 J : -13.11	 LOS : 489.6	 TPP(won) : 178593.06
epoch : 20	 logprob : -170.43	 J : -33.3	 LOS : 446.8	 TPP(won) : 113421.89
epoch : 21	 logprob : -200.36	 J : -45.45	 LOS : 491.4	 TPP(won) : 129931.89
epoch : 22	 logprob : -206.29	 J : -35.46	 LOS : 514.4	 TPP(won) : 155576.32
epoch : 23	 logprob : -240.01	 J : -36.81	 LOS : 567.6	 TPP(won) : 187586.57
epoch : 24	 logprob : -183.94	 J : -25.21	 LOS : 450.4	 TPP(won) : 137797.93
epoch : 25	 logprob : -234.21	 J : -38.73	 LOS : 555.2	 TPP(won) : 155439.94
epoch : 26	 logprob : -229.39	 J : -27.32	 LOS : 520.2	 TPP(won) : 167697.18
epoch : 27	 logprob : -210.79	 J : -18.62	 LOS : 455.2	 TPP(won) : 162473.72
epoch : 28	 logprob : -199.56	 J : -19.73	 LOS : 441.6	 TPP(won) : 134507.11
epoch : 29	 logprob : -256.1	 J : -33.45	 LOS : 640.4	 TPP(won) : 212527.87
epoch : 30	 logprob : -227.48	 J : -16.68	 LOS : 523.0	 TPP(won) : 184235.28
epoch : 31	 logprob : -273.96	 J : -9.52	 LOS : 618.8	 TPP(won) : 252326.83
epoch : 32	 logprob : -253.61	 J : -4.74	 LOS : 524.6	 TPP(won) : 224655.37
epoch : 33	 logprob : -308.21	 J : -17.57	 LOS : 668.8	 TPP(won) : 269842.94
epoch : 34	 logprob : -260.02	 J : -1.43	 LOS : 539.4	 TPP(won) : 240096.28
epoch : 35	 logprob : -261.54	 J : -2.69	 LOS : 522.0	 TPP(won) : 212301.4
epoch : 36	 logprob : -299.63	 J : -8.01	 LOS : 618.2	 TPP(won) : 259680.35
epoch : 37	 logprob : -275.56	 J : -10.67	 LOS : 529.8	 TPP(won) : 194383.73
epoch : 38	 logprob : -291.62	 J : -12.41	 LOS : 558.4	 TPP(won) : 224640.67
epoch : 39	 logprob : -281.97	 J : -31.71	 LOS : 556.0	 TPP(won) : 189583.72
epoch : 40	 logprob : -191.7	 J : 1.41	 LOS : 404.4	 TPP(won) : 155647.47
epoch : 41	 logprob : -277.55	 J : -39.29	 LOS : 585.6	 TPP(won) : 189384.3
epoch : 42	 logprob : -213.07	 J : -20.6	 LOS : 429.8	 TPP(won) : 144517.49
epoch : 43	 logprob : -204.53	 J : -13.29	 LOS : 430.0	 TPP(won) : 157045.36
epoch : 44	 logprob : -233.46	 J : -23.92	 LOS : 545.2	 TPP(won) : 191616.39
epoch : 45	 logprob : -205.98	 J : -13.21	 LOS : 488.8	 TPP(won) : 182817.73
epoch : 46	 logprob : -174.94	 J : 5.64	 LOS : 335.8	 TPP(won) : 142178.16
epoch : 47	 logprob : -173.59	 J : -4.82	 LOS : 363.2	 TPP(won) : 150740.48
epoch : 48	 logprob : -201.78	 J : 6.05	 LOS : 415.4	 TPP(won) : 177929.77
