{'RPATH': 'example', 'UPATH': 'example', 'save': 'example_05', 'seed': 1156, 'lr': 0.0005, 'gpu': '3', 'ep': 500, 'lambda_': 0.5, 'epsilon': 0.2}
epoch : 0	 logprob : -57.84	 J : -30.57	 LOS : 237.2	 TPP(won) : 35070.2
epoch : 1	 logprob : -44.16	 J : -14.24	 LOS : 184.4	 TPP(won) : 30288.91
epoch : 2	 logprob : -108.22	 J : -46.44	 LOS : 323.4	 TPP(won) : 38358.49
epoch : 3	 logprob : -89.03	 J : -33.6	 LOS : 253.0	 TPP(won) : 27950.45
epoch : 4	 logprob : -100.04	 J : -37.25	 LOS : 282.8	 TPP(won) : 41774.3
epoch : 5	 logprob : -104.72	 J : -36.64	 LOS : 331.8	 TPP(won) : 58225.25
epoch : 6	 logprob : -100.92	 J : -29.44	 LOS : 279.4	 TPP(won) : 44175.49
epoch : 7	 logprob : -122.04	 J : -43.11	 LOS : 349.2	 TPP(won) : 52606.51
epoch : 8	 logprob : -218.81	 J : -47.44	 LOS : 525.4	 TPP(won) : 117821.59
epoch : 9	 logprob : -202.37	 J : -48.33	 LOS : 506.4	 TPP(won) : 110413.73
epoch : 10	 logprob : -150.36	 J : -55.81	 LOS : 375.4	 TPP(won) : 61770.09
epoch : 11	 logprob : -241.71	 J : -39.26	 LOS : 535.6	 TPP(won) : 126357.87
epoch : 12	 logprob : -244.08	 J : -42.0	 LOS : 525.2	 TPP(won) : 103592.05
epoch : 13	 logprob : -190.97	 J : -34.54	 LOS : 467.0	 TPP(won) : 110519.44
epoch : 14	 logprob : -178.27	 J : -39.02	 LOS : 436.8	 TPP(won) : 68925.05
epoch : 15	 logprob : -203.99	 J : -39.61	 LOS : 515.2	 TPP(won) : 92396.0
epoch : 16	 logprob : -204.82	 J : -53.97	 LOS : 497.0	 TPP(won) : 111195.62
epoch : 17	 logprob : -232.09	 J : -27.87	 LOS : 490.2	 TPP(won) : 169522.36
epoch : 18	 logprob : -287.79	 J : -70.03	 LOS : 621.2	 TPP(won) : 165662.57
epoch : 19	 logprob : -211.15	 J : -47.25	 LOS : 459.2	 TPP(won) : 133689.75
epoch : 20	 logprob : -200.37	 J : -36.99	 LOS : 452.4	 TPP(won) : 127732.39
epoch : 21	 logprob : -259.44	 J : -40.92	 LOS : 594.0	 TPP(won) : 173333.53
epoch : 22	 logprob : -294.52	 J : -22.6	 LOS : 619.8	 TPP(won) : 250636.43
epoch : 23	 logprob : -186.22	 J : -56.58	 LOS : 436.0	 TPP(won) : 87489.14
epoch : 24	 logprob : -152.71	 J : -20.5	 LOS : 363.0	 TPP(won) : 103806.77
epoch : 25	 logprob : -188.86	 J : -20.78	 LOS : 432.6	 TPP(won) : 124558.97
epoch : 26	 logprob : -188.33	 J : -3.11	 LOS : 439.6	 TPP(won) : 146284.46
epoch : 27	 logprob : -254.59	 J : -23.85	 LOS : 594.4	 TPP(won) : 202533.73
epoch : 28	 logprob : -282.62	 J : -34.5	 LOS : 612.4	 TPP(won) : 217960.96
epoch : 29	 logprob : -251.4	 J : -20.2	 LOS : 571.8	 TPP(won) : 222643.56
epoch : 30	 logprob : -253.57	 J : -48.17	 LOS : 568.0	 TPP(won) : 148662.23
epoch : 31	 logprob : -301.91	 J : -5.55	 LOS : 653.6	 TPP(won) : 292082.48
epoch : 32	 logprob : -256.21	 J : -26.44	 LOS : 569.0	 TPP(won) : 213163.47
