{'RPATH': 'example', 'UPATH': 'example', 'save': 'example_1', 'seed': 2022, 'lr': 0.0005, 'gpu': '1', 'ep': 500, 'lambda_': 1.0, 'epsilon': 0.2}
epoch : 0	 logprob : -48.0	 J : 0.31	 LOS : 231.4	 TPP(won) : 32262.56
epoch : 1	 logprob : -41.38	 J : 49.41	 LOS : 195.8	 TPP(won) : 20686.71
epoch : 2	 logprob : -26.39	 J : 36.88	 LOS : 162.8	 TPP(won) : 22480.04
epoch : 3	 logprob : -18.34	 J : 26.63	 LOS : 150.6	 TPP(won) : 12882.06
epoch : 4	 logprob : -26.93	 J : 32.16	 LOS : 187.4	 TPP(won) : 19316.84
epoch : 5	 logprob : -19.12	 J : 26.57	 LOS : 153.4	 TPP(won) : 20653.13
epoch : 6	 logprob : -21.97	 J : 26.57	 LOS : 187.2	 TPP(won) : 22204.52
epoch : 7	 logprob : -19.34	 J : 27.65	 LOS : 151.6	 TPP(won) : 21868.32
epoch : 8	 logprob : -19.0	 J : 25.82	 LOS : 155.6	 TPP(won) : 21388.61
epoch : 9	 logprob : -14.43	 J : 21.28	 LOS : 143.0	 TPP(won) : 17452.48
epoch : 10	 logprob : -15.01	 J : 21.48	 LOS : 150.6	 TPP(won) : 17970.23
epoch : 11	 logprob : -16.43	 J : 22.92	 LOS : 152.4	 TPP(won) : 18256.5
epoch : 12	 logprob : -12.64	 J : 18.06	 LOS : 151.0	 TPP(won) : 16642.46
epoch : 13	 logprob : -12.05	 J : 18.57	 LOS : 135.4	 TPP(won) : 16532.24
epoch : 14	 logprob : -11.05	 J : 16.53	 LOS : 143.0	 TPP(won) : 14577.35
epoch : 15	 logprob : -11.82	 J : 16.65	 LOS : 152.0	 TPP(won) : 15315.07
epoch : 16	 logprob : -12.0	 J : 16.79	 LOS : 155.0	 TPP(won) : 18538.97
epoch : 17	 logprob : -10.27	 J : 15.08	 LOS : 143.0	 TPP(won) : 14977.38
epoch : 18	 logprob : -9.88	 J : 14.51	 LOS : 143.6	 TPP(won) : 17390.0
epoch : 19	 logprob : -8.84	 J : 11.99	 LOS : 159.8	 TPP(won) : 15425.14
epoch : 20	 logprob : -7.62	 J : 11.77	 LOS : 141.4	 TPP(won) : 11371.6
epoch : 21	 logprob : -8.18	 J : 11.74	 LOS : 148.4	 TPP(won) : 13510.05
epoch : 22	 logprob : -7.14	 J : 11.25	 LOS : 132.4	 TPP(won) : 9970.01
epoch : 23	 logprob : -7.05	 J : 10.52	 LOS : 140.8	 TPP(won) : 12772.52
epoch : 24	 logprob : -5.28	 J : 8.3	 LOS : 134.0	 TPP(won) : 10560.7
epoch : 25	 logprob : -5.87	 J : 9.32	 LOS : 130.6	 TPP(won) : 13035.84
epoch : 26	 logprob : -5.67	 J : 9.16	 LOS : 128.2	 TPP(won) : 11837.47
epoch : 27	 logprob : -6.74	 J : 9.69	 LOS : 149.4	 TPP(won) : 14156.44
epoch : 28	 logprob : -5.59	 J : 8.75	 LOS : 132.8	 TPP(won) : 11444.72
epoch : 29	 logprob : -4.71	 J : 7.15	 LOS : 139.8	 TPP(won) : 10624.73
epoch : 30	 logprob : -5.01	 J : 8.24	 LOS : 124.6	 TPP(won) : 12116.17
epoch : 31	 logprob : -4.14	 J : 6.15	 LOS : 143.6	 TPP(won) : 10376.66
epoch : 32	 logprob : -3.46	 J : 5.64	 LOS : 126.6	 TPP(won) : 8601.9
epoch : 33	 logprob : -3.52	 J : 5.64	 LOS : 129.4	 TPP(won) : 9572.74
epoch : 34	 logprob : -3.14	 J : 4.96	 LOS : 133.6	 TPP(won) : 8550.06
epoch : 35	 logprob : -3.16	 J : 5.08	 LOS : 128.4	 TPP(won) : 10293.21
epoch : 36	 logprob : -3.23	 J : 5.09	 LOS : 134.2	 TPP(won) : 10567.01
epoch : 37	 logprob : -3.06	 J : 4.74	 LOS : 135.2	 TPP(won) : 9572.74
epoch : 38	 logprob : -2.86	 J : 4.54	 LOS : 130.0	 TPP(won) : 9669.95
epoch : 39	 logprob : -2.62	 J : 3.93	 LOS : 141.8	 TPP(won) : 9669.95
epoch : 40	 logprob : -2.03	 J : 3.26	 LOS : 128.8	 TPP(won) : 7545.96
epoch : 41	 logprob : -2.37	 J : 3.8	 LOS : 128.6	 TPP(won) : 8813.19
epoch : 42	 logprob : -2.01	 J : 3.21	 LOS : 129.4	 TPP(won) : 7700.0
