{'gpu': '0', 'ep': 1000, 'bth': 1024, 'maxlen': 20, 'odim': 2, 'pad': 1, 'ker': 2, 'std': 1, 'mpker': 2, 'gruhd': 256, 'gruly': 2, 'grudp': 0.2, 'lr': 0.001, 'dsod': 32, 'save': 'example'}
Train epoch : 0 	 [46289] Loss: nan 	 Accuracy : 0.6569849% 	 Time (s) : 0:02:29 
Train epoch : 5 	 [46289] Loss: nan 	 Accuracy : 1.4549176% 	 Time (s) : 0:02:27 
Train epoch : 10 	 [46289] Loss: nan 	 Accuracy : 1.4856703% 	 Time (s) : 0:02:21 
Train epoch : 15 	 [46289] Loss: nan 	 Accuracy : 1.4694916% 	 Time (s) : 0:06:16 
Train epoch : 20 	 [46289] Loss: nan 	 Accuracy : 1.4648902% 	 Time (s) : 0:02:19 
Train epoch : 25 	 [46289] Loss: nan 	 Accuracy : 1.4627007% 	 Time (s) : 0:02:16 
Train epoch : 30 	 [46289] Loss: nan 	 Accuracy : 1.4705249% 	 Time (s) : 0:02:22 
Train epoch : 35 	 [46289] Loss: nan 	 Accuracy : 1.4840894% 	 Time (s) : 0:02:10 
Train epoch : 40 	 [46289] Loss: nan 	 Accuracy : 1.4811052% 	 Time (s) : 0:02:13 
Train epoch : 45 	 [46289] Loss: nan 	 Accuracy : 1.4775608% 	 Time (s) : 0:02:24 
Train epoch : 50 	 [46289] Loss: nan 	 Accuracy : 1.4890916% 	 Time (s) : 0:02:30 
Train epoch : 55 	 [46289] Loss: nan 	 Accuracy : 1.6938717% 	 Time (s) : 0:02:11 
Train epoch : 60 	 [46289] Loss: nan 	 Accuracy : 1.8606201% 	 Time (s) : 0:02:11 
Train epoch : 65 	 [46289] Loss: nan 	 Accuracy : 1.9748020% 	 Time (s) : 0:02:08 
Train epoch : 70 	 [46289] Loss: nan 	 Accuracy : 2.0575712% 	 Time (s) : 0:02:08 
Train epoch : 75 	 [46289] Loss: nan 	 Accuracy : 2.1577673% 	 Time (s) : 0:02:05 
Train epoch : 80 	 [46289] Loss: nan 	 Accuracy : 2.2877946% 	 Time (s) : 0:01:48 
Train epoch : 85 	 [46289] Loss: nan 	 Accuracy : 2.5070632% 	 Time (s) : 0:02:07 
Train epoch : 90 	 [46289] Loss: nan 	 Accuracy : 2.9062929% 	 Time (s) : 0:02:04 
Train epoch : 95 	 [46289] Loss: nan 	 Accuracy : 3.4942834% 	 Time (s) : 0:02:05 
Train epoch : 100 	 [46289] Loss: nan 	 Accuracy : 4.2897553% 	 Time (s) : 0:02:02 
Train epoch : 105 	 [46289] Loss: nan 	 Accuracy : 5.1255927% 	 Time (s) : 0:02:15 
Train epoch : 110 	 [46289] Loss: nan 	 Accuracy : 6.0813465% 	 Time (s) : 0:02:05 
Train epoch : 115 	 [46289] Loss: nan 	 Accuracy : 6.9980803% 	 Time (s) : 0:02:09 
Train epoch : 120 	 [46289] Loss: nan 	 Accuracy : 7.9267182% 	 Time (s) : 0:02:05 
Train epoch : 125 	 [46289] Loss: nan 	 Accuracy : 8.7598286% 	 Time (s) : 0:02:04 
Train epoch : 130 	 [46289] Loss: nan 	 Accuracy : 9.7494926% 	 Time (s) : 0:02:04 
Train epoch : 135 	 [46289] Loss: nan 	 Accuracy : 10.6231089% 	 Time (s) : 0:02:03 
Train epoch : 140 	 [46289] Loss: nan 	 Accuracy : 11.3841047% 	 Time (s) : 0:02:07 
Train epoch : 145 	 [46289] Loss: nan 	 Accuracy : 12.1497898% 	 Time (s) : 0:02:11 
Train epoch : 150 	 [46289] Loss: nan 	 Accuracy : 12.7887030% 	 Time (s) : 0:02:07 
Train epoch : 155 	 [46289] Loss: nan 	 Accuracy : 13.5408020% 	 Time (s) : 0:02:07 
Train epoch : 160 	 [46289] Loss: nan 	 Accuracy : 14.2018929% 	 Time (s) : 0:02:08 
Train epoch : 165 	 [46289] Loss: nan 	 Accuracy : 14.7886114% 	 Time (s) : 0:02:57 
Train epoch : 170 	 [46289] Loss: nan 	 Accuracy : 15.3938751% 	 Time (s) : 0:02:19 
Train epoch : 175 	 [46289] Loss: nan 	 Accuracy : 15.7255926% 	 Time (s) : 0:02:28 
Train epoch : 180 	 [46289] Loss: nan 	 Accuracy : 16.3706455% 	 Time (s) : 0:02:28 
Train epoch : 185 	 [46289] Loss: nan 	 Accuracy : 16.8775272% 	 Time (s) : 0:02:16 
Train epoch : 190 	 [46289] Loss: nan 	 Accuracy : 17.2352772% 	 Time (s) : 0:01:57 
Train epoch : 195 	 [46289] Loss: nan 	 Accuracy : 17.6936398% 	 Time (s) : 0:01:58 
Train epoch : 200 	 [46289] Loss: nan 	 Accuracy : 18.0708351% 	 Time (s) : 0:02:00 
Train epoch : 205 	 [46289] Loss: nan 	 Accuracy : 18.6030064% 	 Time (s) : 0:02:00 
Train epoch : 210 	 [46289] Loss: nan 	 Accuracy : 18.8483410% 	 Time (s) : 0:01:58 
Train epoch : 215 	 [46289] Loss: nan 	 Accuracy : 19.2615604% 	 Time (s) : 0:02:00 
Train epoch : 220 	 [46289] Loss: nan 	 Accuracy : 19.3898926% 	 Time (s) : 0:02:00 
Train epoch : 225 	 [46289] Loss: nan 	 Accuracy : 19.9178677% 	 Time (s) : 0:01:59 
Train epoch : 230 	 [46289] Loss: nan 	 Accuracy : 20.2054863% 	 Time (s) : 0:02:15 
Train epoch : 235 	 [46289] Loss: nan 	 Accuracy : 20.4209442% 	 Time (s) : 0:02:00 
Train epoch : 240 	 [46289] Loss: nan 	 Accuracy : 20.8506165% 	 Time (s) : 0:02:00 
Train epoch : 245 	 [46289] Loss: nan 	 Accuracy : 21.0602226% 	 Time (s) : 0:01:58 
Train epoch : 250 	 [46289] Loss: nan 	 Accuracy : 21.4119854% 	 Time (s) : 0:02:00 
Train epoch : 255 	 [46289] Loss: nan 	 Accuracy : 21.7169495% 	 Time (s) : 0:02:00 
Train epoch : 260 	 [46289] Loss: nan 	 Accuracy : 21.6306858% 	 Time (s) : 0:02:01 
Train epoch : 265 	 [46289] Loss: nan 	 Accuracy : 22.0971718% 	 Time (s) : 0:01:59 
Train epoch : 270 	 [46289] Loss: nan 	 Accuracy : 22.4429169% 	 Time (s) : 0:01:59 
Train epoch : 275 	 [46289] Loss: nan 	 Accuracy : 22.4702053% 	 Time (s) : 0:02:01 
Train epoch : 280 	 [46289] Loss: nan 	 Accuracy : 22.6429482% 	 Time (s) : 0:02:04 
Train epoch : 285 	 [46289] Loss: nan 	 Accuracy : 23.0113792% 	 Time (s) : 0:02:03 
Train epoch : 290 	 [46289] Loss: nan 	 Accuracy : 23.2916317% 	 Time (s) : 0:02:03 
Train epoch : 295 	 [46289] Loss: nan 	 Accuracy : 23.4123230% 	 Time (s) : 0:02:02 
Train epoch : 300 	 [46289] Loss: nan 	 Accuracy : 23.6231422% 	 Time (s) : 0:02:01 
Train epoch : 305 	 [46289] Loss: nan 	 Accuracy : 23.9306908% 	 Time (s) : 0:02:02 
Train epoch : 310 	 [46289] Loss: nan 	 Accuracy : 24.0665741% 	 Time (s) : 0:02:02 
Train epoch : 315 	 [46289] Loss: nan 	 Accuracy : 24.2736111% 	 Time (s) : 0:02:02 
Train epoch : 320 	 [46289] Loss: nan 	 Accuracy : 24.4045048% 	 Time (s) : 0:01:58 
Train epoch : 325 	 [46289] Loss: nan 	 Accuracy : 24.6365700% 	 Time (s) : 0:02:31 
Train epoch : 330 	 [46289] Loss: nan 	 Accuracy : 24.8260365% 	 Time (s) : 0:03:17 
Train epoch : 335 	 [46289] Loss: nan 	 Accuracy : 22.0203533% 	 Time (s) : 0:02:41 
Train epoch : 340 	 [46289] Loss: nan 	 Accuracy : 24.4493389% 	 Time (s) : 0:02:08 
Train epoch : 345 	 [46289] Loss: nan 	 Accuracy : 24.9918385% 	 Time (s) : 0:02:41 
Train epoch : 350 	 [46289] Loss: nan 	 Accuracy : 25.2415485% 	 Time (s) : 0:02:07 
Train epoch : 355 	 [46289] Loss: nan 	 Accuracy : 25.5810337% 	 Time (s) : 0:02:00 
