{'gpu': '1', 'ep': 2000, 'bth': 1024, 'lr': 1e-05, 'save': 'example_test', 'emdim': 32}
epoch : 0, 	 loss : 60.99628674983978 	 accuracy : 38.1802646% 
epoch : 5, 	 loss : 59.09614861011505 	 accuracy : 64.4697710% 
epoch : 10, 	 loss : 55.084876537323 	 accuracy : 61.9229403% 
epoch : 15, 	 loss : 51.24164664745331 	 accuracy : 61.8696733% 
epoch : 20, 	 loss : 48.29391819238663 	 accuracy : 63.8694070% 
epoch : 25, 	 loss : 46.018965274095535 	 accuracy : 67.4538352% 
epoch : 30, 	 loss : 44.13203224539757 	 accuracy : 70.8951083% 
epoch : 35, 	 loss : 42.65384325385094 	 accuracy : 73.8947088% 
epoch : 40, 	 loss : 41.60785526037216 	 accuracy : 76.3161399% 
epoch : 45, 	 loss : 40.59201729297638 	 accuracy : 78.1582919% 
epoch : 50, 	 loss : 39.67367973923683 	 accuracy : 79.6198065% 
epoch : 55, 	 loss : 39.01879757642746 	 accuracy : 80.8083274% 
epoch : 60, 	 loss : 38.35698288679123 	 accuracy : 81.9469105% 
epoch : 65, 	 loss : 37.76883575320244 	 accuracy : 82.6715643% 
epoch : 70, 	 loss : 37.18291139602661 	 accuracy : 83.3573775% 
epoch : 75, 	 loss : 36.70291402935982 	 accuracy : 83.9333274% 
epoch : 80, 	 loss : 36.31202208995819 	 accuracy : 84.4615589% 
epoch : 85, 	 loss : 35.91833686828613 	 accuracy : 84.9853516% 
epoch : 90, 	 loss : 35.51781317591667 	 accuracy : 85.4003906% 
epoch : 95, 	 loss : 35.16080865263939 	 accuracy : 85.7799183% 
epoch : 100, 	 loss : 34.84409627318382 	 accuracy : 86.2493342% 
epoch : 105, 	 loss : 34.50401920080185 	 accuracy : 86.6133256% 
epoch : 110, 	 loss : 34.193682104349136 	 accuracy : 86.9584517% 
epoch : 115, 	 loss : 33.978592932224274 	 accuracy : 87.2869318% 
epoch : 120, 	 loss : 33.52374133467674 	 accuracy : 87.5588157% 
epoch : 125, 	 loss : 33.39735320210457 	 accuracy : 87.7452504% 
epoch : 130, 	 loss : 33.135918110609055 	 accuracy : 88.1003640% 
epoch : 135, 	 loss : 32.843137323856354 	 accuracy : 88.3789062% 
epoch : 140, 	 loss : 32.63154596090317 	 accuracy : 88.6840820% 
epoch : 145, 	 loss : 32.35964918136597 	 accuracy : 88.9348810% 
epoch : 150, 	 loss : 32.14509916305542 	 accuracy : 89.2322887% 
epoch : 155, 	 loss : 31.942241489887238 	 accuracy : 89.4009677% 
epoch : 160, 	 loss : 31.770675480365753 	 accuracy : 89.6029386% 
epoch : 165, 	 loss : 31.494781494140625 	 accuracy : 89.8193359% 
epoch : 170, 	 loss : 31.375130653381348 	 accuracy : 90.0779031% 
epoch : 175, 	 loss : 31.128512889146805 	 accuracy : 90.2743253% 
epoch : 180, 	 loss : 30.961749225854874 	 accuracy : 90.4474432% 
epoch : 185, 	 loss : 30.784667998552322 	 accuracy : 90.6904741% 
epoch : 190, 	 loss : 30.715994089841843 	 accuracy : 90.8591531% 
epoch : 195, 	 loss : 30.552084416151047 	 accuracy : 91.0245028% 
epoch : 200, 	 loss : 30.303936809301376 	 accuracy : 91.2486683% 
epoch : 205, 	 loss : 30.240063101053238 	 accuracy : 91.3185813% 
epoch : 210, 	 loss : 30.0422423183918 	 accuracy : 91.5283203% 
epoch : 215, 	 loss : 29.961980640888214 	 accuracy : 91.6648171% 
epoch : 220, 	 loss : 29.74514129757881 	 accuracy : 91.8013139% 
epoch : 225, 	 loss : 29.706726610660553 	 accuracy : 91.8712269% 
epoch : 230, 	 loss : 29.69192773103714 	 accuracy : 92.0332475% 
epoch : 235, 	 loss : 29.517816573381424 	 accuracy : 92.1453303% 
epoch : 240, 	 loss : 29.395826905965805 	 accuracy : 92.2529741% 
epoch : 245, 	 loss : 29.313034892082214 	 accuracy : 92.3928001% 
epoch : 250, 	 loss : 29.153311848640442 	 accuracy : 92.5159801% 
epoch : 255, 	 loss : 29.10399952530861 	 accuracy : 92.5648082% 
epoch : 260, 	 loss : 29.085339814424515 	 accuracy : 92.7112926% 
epoch : 265, 	 loss : 28.892170637845993 	 accuracy : 92.8433505% 
epoch : 270, 	 loss : 28.819905430078506 	 accuracy : 92.8977273% 
epoch : 275, 	 loss : 28.747231423854828 	 accuracy : 92.9676403% 
epoch : 280, 	 loss : 28.642398595809937 	 accuracy : 93.1174538% 
epoch : 285, 	 loss : 28.62069869041443 	 accuracy : 93.0930398% 
epoch : 290, 	 loss : 28.513619303703308 	 accuracy : 93.2905717% 
epoch : 295, 	 loss : 28.454980075359344 	 accuracy : 93.3094371% 
epoch : 300, 	 loss : 28.352697283029556 	 accuracy : 93.4437145% 
epoch : 305, 	 loss : 28.323731422424316 	 accuracy : 93.4758967% 
epoch : 310, 	 loss : 28.206325858831406 	 accuracy : 93.5624556% 
epoch : 315, 	 loss : 28.09941476583481 	 accuracy : 93.6179421% 
epoch : 320, 	 loss : 28.04851472377777 	 accuracy : 93.7244762% 
epoch : 325, 	 loss : 27.961396992206573 	 accuracy : 93.8254616% 
epoch : 330, 	 loss : 27.884369045495987 	 accuracy : 93.8443271% 
epoch : 335, 	 loss : 27.94327050447464 	 accuracy : 93.9208984% 
epoch : 340, 	 loss : 27.85744932293892 	 accuracy : 93.9486417% 
epoch : 345, 	 loss : 27.808104991912842 	 accuracy : 94.0440785% 
epoch : 350, 	 loss : 27.717434644699097 	 accuracy : 94.1495028% 
epoch : 355, 	 loss : 27.730515956878662 	 accuracy : 94.1816850% 
epoch : 360, 	 loss : 27.605640649795532 	 accuracy : 94.2360618% 
epoch : 365, 	 loss : 27.658357828855515 	 accuracy : 94.2382812% 
epoch : 370, 	 loss : 27.522267192602158 	 accuracy : 94.3170721% 
epoch : 375, 	 loss : 27.586173802614212 	 accuracy : 94.3126332% 
epoch : 380, 	 loss : 27.410600885748863 	 accuracy : 94.4080700% 
epoch : 385, 	 loss : 27.415697932243347 	 accuracy : 94.4746538% 
epoch : 390, 	 loss : 27.331180661916733 	 accuracy : 94.5212624% 
epoch : 395, 	 loss : 27.27047422528267 	 accuracy : 94.5834073% 
epoch : 400, 	 loss : 27.225739002227783 	 accuracy : 94.6255771% 
